time,precip,site,version,selected_lat,selected_lon
1981-12-25,10.242366,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-26,29.234293,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-27,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-28,3.0068586,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-29,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-30,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1981-12-31,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1982-01-01,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1982-01-02,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1982-01-03,0.0,Shukkloc,PISCO_v2,-9.65,-77.75
1982-01-04,0.5915616,Shukkloc,PISCO_v2,-9.65,-77.75
